Report_ID,Title,Website,Author1,Author2,Author3,Author4,Author5,OrgID1,OrgID2,OrgID3,ProjID1,ProjID2,Citation
1,"The Blue Carbon Reservoirs from Maine to Long Island, NY",https://www.northeastoceandata.org/files/metadata/Themes/Habitat/EPABlueCarbonReport.pdf,,,,,,29,,,,,
2,Blue Carbon Initiative (Science WG) Manual for Measuring Blue Carbon,http://thebluecarboninitiative.org/manual/,,,,,,,,,,,"Howard, J., Hoyt, S., Isensee, K., Pidgeon, E., Telszewski, M. (eds.) (2014). Coastal Blue Carbon: Methods for assessing carbon stocks and emissions factors in mangroves, tidal salt marshes, and seagrass meadows. Conservation International, Intergovernmental Oceanographic Commission of UNESCO, International Union for Conservation of Nature. Arlington, Virginia, USA."
3,The Blue Carbon Handbook,https://oceanpanel.org/wp-content/uploads/2023/06/Ocean_Panel_Blue_Carbon_Handbook-1.pdf,,,,,,,,,,,"Schindler Murray, L., Milligan, B. et al. 2023. ""The blue carbon handbook: Blue carbon as a naturebased solution for climate action and sustainable development."" Report. London: High Level Panel for a Sustainable Ocean Economy. "
4,The CoastWise Approach,https://www.maine.gov/dmr/sites/maine.gov.dmr/files/inline-files/CoastWiseManualJuly2023_0.pdf,,,,,,,,,,,"Moore, S., M. Burke, M. Shultz, R. Hamilton, J. Aman, E. Bartow-Gillies, W. Bennett, R. Blunt, J. Carter, M. Craig, C. Enterline, J. Gabrielson, J. Bell, P. Taylor, and S. Widing. 2023. The CoastWise Approach: Achieving Ecological Resilience and Climate-Ready Road Crossings in Tidal Environments. Maine Coastal Program."
5,A National Blue Carbon Action Plan,https://estuaries.org/wp-content/uploads/2022/02/Blue-Carbon-National-Action-Plan-Final.pdf,,,,,,21,,,,,
6,Blue Carbon Science to Support Climate Actions,https://www.sfei.org/projects/blue-carbon-calif-climate-action,,,,,,30,,,,,
7,A Blue Carbon Primer,https://www.taylorfrancis.com/books/edit/10.1201/9780429435362/blue-carbon-primer-stephen-crooks-tiffany-troxler-lisamarie-windham-myers,,,,,,yt,,,,,
8,Guidelines for How to Approach Thin-Layer Placement Projects,https://ewn.erdc.dren.mil/publications/archive/guidelines-for-how-to-approach-thin-layer-placement-projects/,,,,,,,,,,,
9,Levereging Wetlands for a Better Climate Future,https://www.sfei.org/documents/leveraging-wetlands-better-climate-future-incorporating-blue-carbon-californias-climate,,,,,,30,,,,,
10,Blue Carbon in MPAs,"https://farallones.org/climate/blue-carbon/#:~:text=Marine%20protected%20areas%20(MPAs)%2C,mitigation%20and%20emission%20reduction%20goals.",,,,,,,,,,,